Simplified,Chapter,Pinyin,Category,Meaning
教授,7,jiàoshòu,N,professor
教练,21,jiàoliàn,N,coach
教育,19,jiàoyù,V,teach; educate
教育,7,jiàoyù,N,education
散,26,sàn,V,break up; disperse
散步,13,sànbù,VO,take a walk; walk
数,15,shǔ,V,count
数学,7,shùxué,N,mathematics
整理,14,zhěnglǐ,V,put in order; arrange; sort out
文化,24,wénhuà,N,culture; education; literacy
文学,7,wénxué,N,literature
文章,20,wénzhāng,N,essay; article
料子,17,liàozi,N,material for making clothing
斤,10,jīn,M,half kilogram
新,13,xīn,A,new
新实用汉语课本,16,xīn shíyòng hànyǔ kèběn,PN,New Practical Chinese Reader
新年,20,xīnnián,N,new year
方便,13,fāngbiàn,A,convenient
方法,26,fāngfǎ,N,method
旁边,20,pángbiān,N,side
旅行,14,lǚxíng,V,travel
旗袍,17,qípáo,N,cheongsam; long formal dress with a slit skirt
日记,14,rìjì,N,diary
旧,18,jiù,A,old; past; used
早,15,zǎo,A,early
时候,6,shíhou,N,time; moment
时间,6,shíjiān,N,time
明信片,15,míngxìnpiàn,N,postcard
明天,6,míngtiān,N,tomorrow
明年,26,míngnián,N,next year
星期,9,xīngqī,N,week
星期日,9,xīngqīrì,N,Sunday
春,20,chūn,N,spring
春天,23,chūntiān,N,spring (season)
春江花月夜,20,chūnjiānghuā yuèyè,PN,"(a famous, traditional Chinese music composition)"
春节,14,chūn jié,N,Spring Festival
昨天,6,zuótiān,N,yesterday
是,3,shì,V,to be
晚,11,wǎn,A,late
晚上,11,wǎnshang,N,"evening, night"
普通话,15,pǔtōnghuà,N,common speech; Mandarin Chinese
景,23,jǐng,N,view; scene
景色,23,jǐngsè,N,scene; scenery; landscape
晴,14,qíng,A,sunny
晴天,23,qíngtiān,N,sunny sky
暖和,24,nuǎnhuo,A,warm
曲,20,qǔ,N,tune; melody
最,20,zuì,Adv,the most
月,20,yuè,N,moon
有,6,yǒu,V,to have
有名,10,yǒumíng,A,famous
有意思,6,yǒu yìsi,IE,interesting
有点儿,12,yǒudiǎnr,Adv,somewhat; rather; a bit
有的,22,yǒude,Pr,some
朋友,2,péngyou,N,friend
期,16,qī,N,period of time
本,10,běn,M,books and notebooks
本子,10,běnzi,N,notebook
机,23,jī,N,machine
机场,24,jīchǎng,N,airport
杂志,16,zázhì,N,magazine
材料,19,cáiliào,N,material
村,24,cūn,N,village
束,25,shù,M,bunch (of flowers)
条,23,tiáo,M,"strip; long narrow piece; (measure word for rivers, dragons, pants, fish)"
来,4,lái,V,to come
杨,4,yáng,PN,(a surname)
杭州,21,hángzhōu,PN,Hangzhou
杯,10,bēi,M,cups of things
极了,17,jí(le),Adv,extremely
林娜,1,lín nà,PN,(name of a British student)
林黛玉,22,lín dàiyù,PN,(name of the lead female character in Dream of the Red Chamber)
查,16,chá,V,check; look up
树,23,shù,N,tree
样,19,yàng,M,type; the likes of
样子,17,yàngzi,N,shape; sample; model; pattern
桌子,25,zhuōzi,N,table; desk
梁祝,10,liáng zhù,PN,name of a Chinese violin concerto
梦,22,mèng,N,dream
检查,25,jiǎnchá,V,examine
棵,23,kē,M,"(measure word for trees, plants)"
楼,14,lóu,N,building
次,15,cì,M,(measure word for actions)
欧元,15,ōuyuán,N,Euro
欧洲,14,ōuzhōu,PN,Europe
款,16,kuǎn,N,sum of money
正在,24,zhèngzài,Adv,in the process of; in the middle of; (key word of a progressive construction)
正常,24,zhèngcháng,A,normal; regular
正式,20,zhèngshì,A,formal
步,13,bù,N,step
死,22,sǐ,V,die
每,12,měi,Pr,every; each
比,17,bǐ,Prep,than (indicating comparison)
比赛,21,bǐsài,N,match/compete; have a match
毕业,26,bìyè,VO,finish school; graduate
毛(钱),10,máo(qián),M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
民乐,20,mínyuè,N,folk music played with traditional instruments
民族,20,mínzú,N,nation; nationality
气温,23,qìwēn,N,air temperature
水,12,shuǐ,N,water
水平,21,shuǐpíng,N,level
水电费,13,shuǐdiànfèi,N,utility bill or fee
汇率,15,huìlǜ,N,exchange rate
汉堡,9,hànbǎo,N,hamburger
汉字,11,hànzì,N,Chinese character
汉语,4,hànyǔ,N,Chinese (language)
江,20,jiāng,N,river
汽车,18,qìchē,N,automobile; motor vehicle; car
没,8,méi,Adv,not
没关系,5,méi guānxi,IE,never mind; it doesn't matter
油,19,yóu,N,oil
油彩,19,yóucǎi,N,greasepaint
油画,19,yóuhuà,N,oil painting
注意,25,zhùyì,V,pay attention to
泰山,23,tàishān,PN,Taishan Mountain; Mount Tai
洗,14,xǐ,V,wash
派出所,25,pàichūsuǒ,N,police substation
流利,15,liúlì,A,fluent
海,18,hǎi,N,sea; big lake
海关,18,hǎiguān,N,customhouse; customs
海南岛,23,hǎinán dǎo,PN,Hainan Island
海运,18,hǎiyùn,N,sea transporation; ocean shipping; ocean freight
消息,25,xiāoxi,N,news
涮,20,shuàn,V,cook thin slices of meat in boiling water
