Simplified,Chapter,Pinyin,Category,Meaning
性别,16,xìng bié,N,sex; gender
总是,17,zǒng shì,Adv,always
恐怕,6,kǒng pà,Adv,to be afraid that; perhaps
恭喜,20,gōng xǐ,IE,congratulations
您,3,nín,Pr,you  (polite form)
悲伤,22,bēi shāng,A,sad; sorrow
情况,26,qíng kuàng,N,situation
惊喜,14,jīng xǐ,N,pleasant surprise
想,12,xiǎng,V,think/want to...
想,14,xiǎng,V,miss; remember with longing
想像,19,xiǎng xiàng,V,imagine
意思,26,yì si,N,meaning
感,26,gǎn,V,feel; sense
感人,22,gǎn rén,A,touching; moving
感兴趣,26,gǎn xìng qù,IE,be interested in something
感冒,12,gǎn mào,V,have a cold/common cold
感恩节,14,gǎn ēn jié,N,Thanksgiving
愿意,12,yuàn yì,OpV,be willing to ...
慢,16,màn,A,slow; slowly
懂,15,dǒng,V,understand
戏,22,xì,N,drama; play; show
戏院,22,xì yuàn,N,theater
成,26,chéng,V,become
我,1,wǒ,Pr,I; me
我们,2,wǒ men,Pr,we; us
或者,20,huò zhě,Conj,or
房子,13,fáng zi,N,house
房租,13,fáng zū,N,rent (for a house or apartment)
房间,16,fáng jiān,N,room
所以,20,suǒ yǐ,Conj,so
手,25,shǒu,N,hand
手机,25,shǒu jī,N,cellular phone
才,26,cái,Adv,just
打,6,dǎ,V,to play
打工,14,dǎ gōng,V,have a part-time job
打扫,14,dǎ sǎo,V,clean
打折,17,dǎ zhé,VO,sell at a discount; give a disount
打球,6,dǎ qiú,VO,to play ball
打电话,13,dǎ diànhuà,VO,make a phone call
打的,11,dǎ dī,VO,take a taxi
打算,23,dǎ suan,N,plan/to plan; to intend to
打针,12,dǎ zhēn,VO,have an injection
扫,14,sǎo,V,sweep
找钱,10,zhǎo(qián),V,give change
找,10,zhǎo,V,give change
找,13,zhǎo,V,look for
技术,24,jì shù,N,technology; skill
把,16,bǎ,Prep,(denoting the disposal of something)
抓,25,zhuā,V,clutch; catch; arrest
护照,18,hù zhào,N,passport
报,10,bào,N,newspaper
抱歉,6,bào qiàn,A,to feel sorry; sorry
拍,23,pāi,V,pat; beat; take (a picture)
拐,21,guǎi,V,turn
拜拜,11,bái bái,IE,bye-bye (transliteration)
拿,16,ná,V,take; hold; get
挂号,12,guà hào,VO,"register (at a hospital, etc.)"
挂失,25,guà shī,VO,report the loss of something
换,15,huàn,V,exchange; change
掉,25,diào,V,drop; fall
排,15,pái,V,arrange; put in order
排,22,pái,N,line; row
排队,15,pái duì,VO,form a line; queue up
接,24,jiē,V,pick up (someone)
揍,20,zòu,V,play a musical instrument
提,21,tí,V,lift
提,23,tí,V,put forward; raise
提高,21,tí gāo,V,improve; increase
撞,25,zhuàng,V,knock; collide
支,10,zhī,M,stick-like objects like pens
收,24,shōu,V,accept; receive
收入,24,shōu rù,N,income; earnings
收票员,18,shòu piào yuán,N,ticket seller; conductor
放,25,fàng,V,put; place
放假,23,fàng jià,VO,have a holiday or vacation
放心,18,fàng xīn,VO,set one's mind at rest; be at ease; feel relieved
故事,22,gù shi,N,story; tale
教,7,jiāo,V,to teach
教书,23,jiāo shū,VO,teach
教授,7,jiào shòu,N,professor
教练,21,jiào liàn,N,coach
教育,19,jiào yù,V,teach; educate
教育,7,jiào yù,N,education
散,26,sàn,V,break up; disperse
散步,13,sàn bù,VO,take a walk; walk
数,15,shǔ,V,count
数学,7,shù xué,N,mathematics
整理,14,zhěng lǐ,V,put in order; arrange; sort out
文化,24,wén huà,N,culture; education; literacy
文学,7,wén xué,N,literature
文章,20,wén zhāng,N,essay; article
料子,17,liào zi,N,material for making clothing
斤,10,jīn,M,half kilogram
新,13,xīn,A,new
新实用汉语课本,16,xīn shí yòng hàn yǔ kè běn,PN,New Practical Chinese Reader
新年,20,xīn nián,N,new year
方便,13,fāng biàn,A,convenient
方法,26,fāng fǎ,N,method
旁边,20,páng biān,N,side
旅行,14,lǚ xíng,V,travel
旗袍,17,qí páo,N,cheongsam; long formal dress with a slit skirt
日记,14,rì jì,N,diary
旧,18,jiù,A,old; past; used
早,15,zǎo,A,early
时候,6,shí hou,N,time; moment
时间,6,shí jiān,N,time
明信片,15,míng xìn piàn,N,postcard
明天,6,míng tiān,N,tomorrow
明年,26,míng nián,N,next year
星期,9,xīng qī,N,week
星期日,9,xīng qī rì,N,Sunday
春,20,chūn,N,spring
春天,23,chūn tiān,N,spring (season)
春江花月夜,20,chūn jiāng huā yuèyè,PN,"(a famous, traditional Chinese music composition)"
春节,14,chūn jié,N,Spring Festival
昨天,6,zuó tiān,N,yesterday
是,3,shì,V,to be
晚,11,wǎn,A,late
晚上,11,wǎn shang,N,"evening, night"
普通话,15,pǔ tōng huà,N,common speech; Mandarin Chinese
景,23,jǐng,N,view; scene
景色,23,jǐng sè,N,scene; scenery; landscape
